name,modelled,mean_travel,site,beta,scope,w_spec,pan2024,pan2026,fill
Blatchington Mill School,235.33317553733798,42.075523199579415,now,0.5,city,identical,330,330,0.7131308349616302
Brighton Aldridge Community Academy,211.3727212986732,50.892722973702206,now,0.5,city,identical,180,180,1.17429289610374
Cardinal Newman Catholic School,247.7126755080071,37.49888052941888,now,0.5,city,identical,360,360,0.6880907653000197
Dorothy Stringer School,231.85499063979717,43.50092572012273,now,0.5,city,identical,330,330,0.7025908807266581
Hove Park School,240.23793146996582,40.41214287358703,now,0.5,city,identical,180,180,1.3346551748331434
King's School,213.65845471293466,50.68771528916875,now,0.5,city,identical,165,180,1.2948997255329373
Longhill High School,203.06341202027465,55.85238628455406,now,0.5,city,identical,270,210,0.7520867111862024
Patcham High School,223.5819254329422,46.77148072335475,now,0.5,city,identical,225,225,0.993697446368632
Portslade Aldridge Community Academy,224.80261873087807,46.770073300386834,now,0.5,city,identical,220,220,1.0218300851403548
Varndean School,235.03395765257642,41.888951076209125,now,0.5,city,identical,300,300,0.7834465255085881
Blatchington Mill School,231.5380256710213,42.02143028385361,elm,0.5,city,identical,330,330,0.7016303808212767
Brighton Aldridge Community Academy,207.15905704647332,51.18671985015161,elm,0.5,city,identical,180,180,1.1508836502581852
Cardinal Newman Catholic School,243.39227815610954,37.54656424315057,elm,0.5,city,identical,360,360,0.6760896615447487
Dorothy Stringer School,227.41466833587094,43.70157034325139,elm,0.5,city,identical,330,330,0.6891353585935484
Hove Park School,236.30958602325384,40.38421100972429,elm,0.5,city,identical,180,180,1.3128310334625213
King's School,210.20253086135628,50.63150701373479,elm,0.5,city,identical,165,180,1.2739547324930685
Longhill High School,239.50920797372575,39.06853649521583,elm,0.5,city,identical,270,210,0.8870711406434287
Patcham High School,219.41126894229333,46.94293468591735,elm,0.5,city,identical,225,225,0.9751611952990815
Portslade Aldridge Community Academy,221.25579900316671,46.69277335664962,elm,0.5,city,identical,220,220,1.0057081772871215
Varndean School,230.4594409901162,42.1047930868814,elm,0.5,city,identical,300,300,0.7681981366337207
Blatchington Mill School,236.5117306460639,41.26039751642659,now,0.6,city,identical,330,330,0.7167022140789815
Brighton Aldridge Community Academy,208.34899796182407,49.98352909401054,now,0.6,city,identical,180,180,1.157494433121245
