CatchmentGroup,PAN,entry_year,council_oct24
PACA,220,2025,206
PACA,220,2026,221
PACA,220,2027,185
PACA,220,2028,191
PACA,220,2029,182
PACA,220,2030,214
PACA,220,2031,150
Hove Park / Blatchington Mill,510,2025,512
Hove Park / Blatchington Mill,510,2026,434
Hove Park / Blatchington Mill,510,2027,443
Hove Park / Blatchington Mill,510,2028,410
Hove Park / Blatchington Mill,510,2029,413
Hove Park / Blatchington Mill,510,2030,351
Hove Park / Blatchington Mill,510,2031,365
Varndean / Dorothy Stringer,630,2025,581
Varndean / Dorothy Stringer,630,2026,624
Varndean / Dorothy Stringer,630,2027,592
Varndean / Dorothy Stringer,630,2028,588
Varndean / Dorothy Stringer,630,2029,560
Varndean / Dorothy Stringer,630,2030,557
Varndean / Dorothy Stringer,630,2031,539
Longhill,210,2025,168
Longhill,210,2026,175
Longhill,210,2027,166
Longhill,210,2028,176
Longhill,210,2029,159
Longhill,210,2030,151
Longhill,210,2031,154
BACA,180,2025,134
BACA,180,2026,129
BACA,180,2027,138
BACA,180,2028,143
BACA,180,2029,112
BACA,180,2030,95
BACA,180,2031,125
Patcham,225,2025,198
Patcham,225,2026,205
Patcham,225,2027,212
Patcham,225,2028,201
Patcham,225,2029,194
Patcham,225,2030,163
Patcham,225,2031,179
