site,beta,gamma,w_spec,entry_year,regime,natural_intake,mean_travel,site_label,w_label,regime_label
now,1.5,0,W_equal,2026,optionZ,267.1127941195566,42.279051722914325,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.5,0,W_equal,2030,optionZ,207.14168707247205,41.71691531070626,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.5,0,W_equal,2035,optionZ,181.95655118294079,41.45718840720899,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.5,0,W_pan,2026,optionZ,261.78045709044136,42.24032384202617,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.5,0,W_pan,2030,optionZ,208.05930073117935,41.591524391983114,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.5,0,W_pan,2035,optionZ,190.23928382480048,41.496670958869835,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.5,0,W_prefs,2026,optionZ,137.893534841693,39.07097815975959,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.5,0,W_prefs,2030,optionZ,107.6792061910277,38.551645850288516,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.5,0,W_prefs,2035,optionZ,94.24104125758639,38.239751123286545,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.5,0,W_wprefs,2026,optionZ,129.8110351448519,38.778951974236605,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.5,0,W_wprefs,2030,optionZ,87.98640453720989,37.717870873127076,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.5,0,W_wprefs,2035,optionZ,78.2628995954931,37.49509787982366,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.5,0,W_att8,2026,optionZ,134.59416514056036,38.94503222337757,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.5,0,W_att8,2030,optionZ,87.40423718354914,37.66759620268668,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.5,0,W_att8,2035,optionZ,76.53183251234414,37.42300700560662,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.5,0.8,W_equal,2026,optionZ,290.64182419912646,37.627778096433396,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.5,0.8,W_equal,2030,optionZ,212.96253197289366,36.076316885873865,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.5,0.8,W_equal,2035,optionZ,188.9453663382022,35.718363653590664,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.5,0.8,W_pan,2026,optionZ,291.07712866835885,37.69570412149252,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.5,0.8,W_pan,2030,optionZ,215.50289315609766,36.154949220055364,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.5,0.8,W_pan,2035,optionZ,194.87248159685427,35.83562733398943,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.5,0.8,W_prefs,2026,optionZ,163.28213545600303,33.48146810681857,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.5,0.8,W_prefs,2030,optionZ,123.12123220091182,32.45771108842654,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.5,0.8,W_prefs,2035,optionZ,110.16873583050953,32.16996699393803,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.5,0.8,W_wprefs,2026,optionZ,153.45134551531032,33.060818586040405,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.5,0.8,W_wprefs,2030,optionZ,104.07503361077485,31.590563871889056,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.5,0.8,W_wprefs,2035,optionZ,93.46527887764096,31.328039823311652,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.5,0.8,W_att8,2026,optionZ,163.23939942950838,33.4416535816069,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.5,0.8,W_att8,2030,optionZ,106.56639471668827,31.703885737210456,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.5,0.8,W_att8,2035,optionZ,91.19278125958621,31.226804828104683,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.5,1.6,W_equal,2026,optionZ,319.4397981435462,34.64013240271758,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.5,1.6,W_equal,2030,optionZ,224.9992922258849,31.87784289180877,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.5,1.6,W_equal,2035,optionZ,197.520652692718,31.176385879984068,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.5,1.6,W_pan,2026,optionZ,316.60304967474497,34.59595406345471,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.5,1.6,W_pan,2030,optionZ,225.93232684253633,32.0100423629004,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.5,1.6,W_pan,2035,optionZ,204.7124312373476,31.583488654422947,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.5,1.6,W_prefs,2026,optionZ,207.5323423530284,30.13076512797685,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.5,1.6,W_prefs,2030,optionZ,151.25832306928106,28.531275007114576,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.5,1.6,W_prefs,2035,optionZ,134.2485981610486,28.07841351367146,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.5,1.6,W_wprefs,2026,optionZ,192.62811351295426,29.50273354767751,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.5,1.6,W_wprefs,2030,optionZ,134.09556513212988,27.799806733808136,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.5,1.6,W_wprefs,2035,optionZ,118.94275859041853,27.407681565465303,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.5,1.6,W_att8,2026,optionZ,200.0182102136674,29.809875464560445,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.5,1.6,W_att8,2030,optionZ,136.83579402188317,27.939477857619604,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.5,1.6,W_att8,2035,optionZ,117.24304993403636,27.388087383031888,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.5,2.4,W_equal,2026,optionZ,335.38902294091724,33.14785419923148,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.5,2.4,W_equal,2030,optionZ,236.2446204526356,29.558214383438035,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.5,2.4,W_equal,2035,optionZ,208.0658051391193,28.670972546849203,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.5,2.4,W_pan,2026,optionZ,332.96297884855926,33.09249781370806,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.5,2.4,W_pan,2030,optionZ,236.71723109555995,29.658548099497377,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.5,2.4,W_pan,2035,optionZ,212.98481057272318,29.02338173430582,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.5,2.4,W_prefs,2026,optionZ,247.9725315301299,28.694066042749114,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.5,2.4,W_prefs,2030,optionZ,182.0938966896759,26.760745976598788,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.5,2.4,W_prefs,2035,optionZ,163.87608395105087,26.365904789476243,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.5,2.4,W_wprefs,2026,optionZ,236.75059115993525,28.16559682626348,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.5,2.4,W_wprefs,2030,optionZ,167.78659422009937,26.193993347969947,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.5,2.4,W_wprefs,2035,optionZ,150.83617079974925,25.856492660038672,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.5,2.4,W_att8,2026,optionZ,239.64595878019966,28.2829241841781,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.5,2.4,W_att8,2030,optionZ,170.63651217007842,26.331252057302034,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.5,2.4,W_att8,2035,optionZ,149.13554917428252,25.845361162296005,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.6,0,W_equal,2026,optionZ,267.9805341412848,41.126267213361984,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.6,0,W_equal,2030,optionZ,207.92281432385056,40.51879469361377,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.6,0,W_equal,2035,optionZ,182.8893126319092,40.2399825623366,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.6,0,W_pan,2026,optionZ,262.4297661732013,41.07554593448338,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.6,0,W_pan,2030,optionZ,208.75673990487775,40.39438704213162,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.6,0,W_pan,2035,optionZ,190.83267725461462,40.286394190576175,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
