name,pref1,pref2,pref3,off_total,n_years,pan,pref_weighted,prefs_per_place,wprefs_per_place,W_prefs_multi,W_wprefs_multi,offer_rate
Blatchington Mill School,277.6,283.2,245,330,5,330,480.45000000000005,0.8412121212121213,1.455909090909091,0.9448522306930996,0.9752447669160385,1.1887608069164264
Brighton Aldridge Community Academy,99.4,36.6,50.2,110.2,5,180,130.25,0.5522222222222223,0.7236111111111111,0.6202578224302565,0.4847129218437416,1.108651911468813
Cardinal Newman Catholic School,463.8,206.8,297.2,360,5,360,641.5,1.2883333333333333,1.7819444444444446,1.4470602517261213,1.1936404582063733,0.7761966364812419
Dorothy Stringer School,260.2,492.4,237.2,333.8,5,330,565.6999999999999,0.7884848484848485,1.7142424242424241,0.8856287839565724,1.1482900710675468,1.2828593389700231
Hove Park School,123.2,241.8,243.4,161.2,5,180,304.95000000000005,0.6844444444444444,1.6941666666666668,0.7687702587867966,1.134842268838764,1.3084415584415583
King's School,237,245.8,207.6,171,5,165,411.79999999999995,1.4363636363636363,2.4957575757575756,1.6133283766157391,1.6717901759434886,0.7215189873417721
Longhill High School,92.8,35.4,35.4,109.2,5,270,119.35,0.3437037037037037,0.442037037037037,0.3860491342825472,0.2960997426592479,1.1767241379310345
Patcham High School,191,81.4,264.8,216.2,5,225,297.9,0.8488888888888889,1.3239999999999998,0.9534748014823258,0.8868850943094088,1.131937172774869
Portslade Aldridge Community Academy,157.4,91.2,80.6,187.6,5,220,223.15,0.7154545454545455,1.014318181818182,0.8036009065801182,0.679443864306319,1.1918678526048283
Varndean School,421.2,421.2,212,302,5,300,684.8,1.404,2.2826666666666666,1.5769774334464224,1.5290506359090714,0.7169990503323836
