year,pref1,off1,pref2,off2,pref3,off3,pref_total,off_total,name
2010,528,NA,354,NA,243,NA,1125,300,Blatchington Mill School
2010,115,NA,41,NA,29,NA,185,123,Brighton Aldridge Community Academy
2010,380,NA,143,NA,227,NA,750,NA,Cardinal Newman Catholic School
2010,377,NA,443,NA,275,NA,1095,311,Dorothy Stringer School
2010,142,NA,436,NA,266,NA,844,308,Hove Park School
2010,221,NA,46,NA,57,NA,324,239,Longhill High School
2010,187,NA,74,NA,178,NA,439,210,Patcham High School
2010,115,NA,25,NA,88,NA,228,139,Portslade Aldridge Community Academy
2010,255,NA,478,NA,274,NA,1007,270,Varndean School
2012,465,284,346,13,233,3,1044,300,Blatchington Mill School
2012,97,97,33,5,42,1,172,103,Brighton Aldridge Community Academy
2012,362,331,136,10,256,0,754,341,Cardinal Newman Catholic School
2012,460,326,382,3,256,1,1098,330,Dorothy Stringer School
2012,148,147,358,117,271,35,778,300,Hove Park School
2012,210,210,54,15,56,11,320,236,Longhill High School
2012,193,183,97,21,206,5,497,210,Patcham High School
2012,104,104,39,15,55,2,198,121,Portslade Aldridge Community Academy
2012,184,168,507,92,258,9,950,270,Varndean School
2013,400,285,333,14,228,1,961,300,Blatchington Mill School
2013,79,79,17,3,19,1,115,83,Brighton Aldridge Community Academy
2013,409,354,129,5,300,1,838,360,Cardinal Newman Catholic School
2013,507,326,370,4,182,0,1059,330,Dorothy Stringer School
2013,175,175,333,95,234,29,742,299,Hove Park School
2013,188,188,26,8,43,4,257,200,Longhill High School
2013,186,180,65,17,198,13,449,210,Patcham High School
2013,80,80,30,9,62,2,172,91,Portslade Aldridge Community Academy
2013,169,142,485,110,253,18,907,270,Varndean School
2014,349,286,287,11,212,3,848,300,Blatchington Mill School
2014,68,68,18,5,27,9,113,82,Brighton Aldridge Community Academy
2014,393,355,135,3,296,2,824,360,Cardinal Newman Catholic School
2014,493,316,414,15,178,0,1085,331,Dorothy Stringer School
2014,181,181,343,58,195,21,719,260,Hove Park School
2014,105,105,54,7,77,3,236,115,King's School
2014,191,191,38,12,32,6,261,209,Longhill High School
2014,209,179,67,11,222,20,498,210,Patcham High School
2014,85,85,38,6,39,1,162,92,Portslade Aldridge Community Academy
2014,216,165,495,95,254,10,965,270,Varndean School
2015,389,287,323,13,234,1,946,301,Blatchington Mill School
2015,120,120,17,4,39,6,176,130,Brighton Aldridge Community Academy
2015,385,345,132,13,306,2,823,360,Cardinal Newman Catholic School
2015,471,329,366,4,189,4,1026,337,Dorothy Stringer School
2015,215,200,387,77,220,22,823,299,Hove Park School
2015,90,90,71,17,108,14,269,121,King's School
2015,141,141,34,9,33,6,208,156,Longhill High School
2015,208,184,72,13,250,13,530,210,Patcham High School
2015,86,86,35,24,70,13,191,123,Portslade Aldridge Community Academy
2015,210,176,480,94,233,7,923,277,Varndean School
2016,410,292,289,6,189,2,888,300,Blatchington Mill School
2016,87,87,24,7,27,5,138,99,Brighton Aldridge Community Academy
2016,375,338,130,17,330,5,835,360,Cardinal Newman Catholic School
2016,495,337,337,7,191,0,1023,344,Dorothy Stringer School
2016,172,172,335,82,224,19,731,273,Hove Park School
2016,98,90,102,9,142,1,342,100,King's School
2016,138,138,31,14,33,11,202,163,Longhill High School
2016,217,185,63,20,237,10,517,215,Patcham High School
2016,85,85,39,8,58,1,182,94,Portslade Aldridge Community Academy
2016,219,176,521,100,217,8,957,284,Varndean School
2017,336,282,323,14,238,4,897,300,Blatchington Mill School
2017,90,90,22,9,31,9,143,108,Brighton Aldridge Community Academy
2017,362,330,154,20,278,10,794,360,Cardinal Newman Catholic School
2017,459,327,455,3,159,1,1073,331,Dorothy Stringer School
2017,198,198,299,45,229,12,726,255,Hove Park School
2017,124,94,123,4,142,2,389,100,King's School
2017,131,131,33,8,39,11,203,150,Longhill High School
2017,211,185,90,12,303,18,604,215,Patcham High School
2017,158,158,65,13,84,5,307,176,Portslade Aldridge Community Academy
2017,304,228,482,35,244,7,1030,270,Varndean School
2018,401,303,288,22,257,5,946,330,Blatchington Mill School
2018,110,109,42,15,50,6,202,130,Brighton Aldridge Community Academy
2018,381,342,162,15,274,3,816,360,Cardinal Newman Catholic School
2018,413,325,488,6,208,0,1109,331,Dorothy Stringer School
2018,151,151,345,71,226,17,722,239,Hove Park School
2018,143,117,133,7,159,1,435,125,King's School
2018,156,156,28,8,47,11,231,175,Longhill High School
2018,226,191,64,13,368,21,658,225,Patcham High School
2018,168,168,108,13,133,7,409,188,Portslade Aldridge Community Academy
2018,355,280,486,20,253,0,1094,300,Varndean School
2019,373,282,344,37,256,11,973,330,Blatchington Mill School
2019,92,92,40,11,49,7,181,110,Brighton Aldridge Community Academy
2019,465,340,219,14,344,6,1028,360,Cardinal Newman Catholic School
2019,447,355,470,9,233,0,1150,364,Dorothy Stringer School
2019,119,119,289,62,271,34,679,215,Hove Park School
2019,188,157,209,17,204,4,601,178,King's School
2019,153,152,33,16,62,15,248,183,Longhill High School
2019,217,190,83,19,299,16,599,225,Patcham High School
2019,168,164,106,49,136,27,410,240,Portslade Aldridge Community Academy
2019,304,251,537,47,257,6,1098,304,Varndean School
2020,350,279,281,45,237,6,868,330,Blatchington Mill School
2020,89,89,50,7,62,10,201,106,Brighton Aldridge Community Academy
2020,349,311,221,39,326,10,896,360,Cardinal Newman Catholic School
