beta,gamma,phi,chi2,r2
0.5,2.4,0.35,311.21024615907976,0.8107231361192261
0.75,2.4,0.35,271.14213041729727,0.8211323257303553
1,2.4,0.35,242.32151928253148,0.8268896102214962
1.25,2.4,0.35,222.04108336164978,0.8298666772126104
1.5,2.4,0.5,201.99062700623088,0.8367313959812596
1.75,2.4,0.5,180.6141099123198,0.8457838150798712
2,2.4,0.5,164.63720119672257,0.8536727217724934
2.25,2.4,0.5,152.74557812365376,0.860651843428981
2.5,2.4,0.5,143.93142395772983,0.8668827306431197
2.75,2.4,0.5,137.4305374004136,0.8724754875081032
3,2.4,0.5,132.66248861862843,0.8775139150616807
3.25,2.4,0.5,129.18478750605897,0.8820684311241923
3.5,1.6,0.5,121.31871102363827,0.8884510465458015
3.75,1.6,0.5,113.94399623061213,0.8936715270215918
4,1.6,0.5,107.99996142316229,0.8982900761211235
4.25,1.6,0.5,103.19657105814163,0.9023967018318847
4.5,1.6,0.5,99.30170325608896,0.9060667583189013
4.75,1.6,0.5,96.13093846190245,0.9093625043995691
5,1.6,0.5,93.53871473798513,0.9123348732516442
