area,entry_year,children,extrapolated,state_demand
Brighton & Hove,2022,2735,FALSE,2325.3161460293563
Brighton & Hove,2023,2710,FALSE,2304.0609710199474
Brighton & Hove,2024,2657,FALSE,2259
Brighton & Hove,2025,2528,FALSE,2149.323296951449
Brighton & Hove,2026,2666,FALSE,2266.6518630033875
Brighton & Hove,2027,2545,FALSE,2163.7768159578472
Brighton & Hove,2028,2435,FALSE,2070.254045916447
Brighton & Hove,2029,2401,FALSE,2041.3470079036508
Brighton & Hove,2030,2323,FALSE,1975.0308618742943
Brighton & Hove,2031,2331,FALSE,1981.8325178773052
Brighton & Hove,2032,2144,FALSE,1822.8438088069252
Brighton & Hove,2033,2253,FALSE,1915.516371847949
Brighton & Hove,2034,2205.5000000000036,TRUE,1875.1315393300747
Brighton & Hove,2035,2158.000000000007,TRUE,1834.7467068122
Expansion area,2022,244,FALSE,207.4505080918329
Expansion area,2023,284,FALSE,241.45878810688745
Expansion area,2024,254,FALSE,215.95257809559655
Expansion area,2025,259,FALSE,220.20361309747835
Expansion area,2026,253,FALSE,215.10237109522018
Expansion area,2027,251,FALSE,213.40195709446743
Expansion area,2028,241,FALSE,204.8998870907038
Expansion area,2029,254,FALSE,215.95257809559655
Expansion area,2030,228,FALSE,193.84719608581108
Expansion area,2031,230,FALSE,195.5476100865638
Expansion area,2032,191,FALSE,162.3895370718856
Expansion area,2033,211,FALSE,179.39367707941287
Expansion area,2034,198.70000000000076,TRUE,168.93613097478422
Expansion area,2035,186.4000000000015,TRUE,158.4785848701556
