name,intake,from_new,mean_travel,entry_year,pan,fill,city_mean_travel,config
Blatchington Mill School,330,5.999495797476409,29.72288321485978,2026,330,1,31.088027280173197,"A. Today: Ovingdean, PAN 210, current catchments"
Brighton Aldridge Community Academy,180,6.362116746503697,36.021209137780374,2026,180,1,31.088027280173197,"A. Today: Ovingdean, PAN 210, current catchments"
Cardinal Newman Catholic School,210.2102340843992,8.779289351054327,31.97399939650618,2026,360,0.5839173169011088,31.088027280173197,"A. Today: Ovingdean, PAN 210, current catchments"
Dorothy Stringer School,330,8.355007851746857,33.047577940374765,2026,330,1,31.088027280173197,"A. Today: Ovingdean, PAN 210, current catchments"
Hove Park School,180,2.912326375830684,26.308270618339726,2026,180,1,31.088027280173197,"A. Today: Ovingdean, PAN 210, current catchments"
King's School,165.00000000000003,7.412816539277202,44.03476376673188,2026,165,1.0000000000000002,31.088027280173197,"A. Today: Ovingdean, PAN 210, current catchments"
Longhill High School,191.53557274575383,9.541200735957165,30.064586212038403,2026,210,0.9120741559321611,31.088027280173197,"A. Today: Ovingdean, PAN 210, current catchments"
Patcham High School,225.00000000000003,6.778201520940448,31.268772156496574,2026,225,1.0000000000000002,31.088027280173197,"A. Today: Ovingdean, PAN 210, current catchments"
Peacehaven Community School,180,147.78601020537144,24.198073343415484,2026,180,1,31.088027280173197,"A. Today: Ovingdean, PAN 210, current catchments"
Portslade Aldridge Community Academy,220,3.8228429338019363,24.357047790279875,2026,220,1,31.088027280173197,"A. Today: Ovingdean, PAN 210, current catchments"
Varndean School,270,7.352234117926545,32.31077666008331,2026,270,1,31.088027280173197,"A. Today: Ovingdean, PAN 210, current catchments"
Blatchington Mill School,329.99999999999994,7.080724352368033,30.40384515043547,2028,330,0.9999999999999998,31.336667820294444,"A. Today: Ovingdean, PAN 210, current catchments"
Brighton Aldridge Community Academy,138.31238920566773,5.22070792588072,35.214173303616924,2028,180,0.7684021622537096,31.336667820294444,"A. Today: Ovingdean, PAN 210, current catchments"
Cardinal Newman Catholic School,147.76819115962851,7.032838047314997,32.257865681776295,2028,360,0.4104671976656348,31.336667820294444,"A. Today: Ovingdean, PAN 210, current catchments"
Dorothy Stringer School,330,9.96051352718979,34.0756626750032,2028,330,1,31.336667820294444,"A. Today: Ovingdean, PAN 210, current catchments"
Hove Park School,180,3.451595505295986,26.991841415383675,2028,180,1,31.336667820294444,"A. Today: Ovingdean, PAN 210, current catchments"
King's School,120.61680867938317,6.247725049638042,44.76532939053742,2028,165,0.7310109616932313,31.336667820294444,"A. Today: Ovingdean, PAN 210, current catchments"
Longhill High School,150.4253468191632,7.624972691947751,28.999803583591095,2028,210,0.7163111753293485,31.336667820294444,"A. Today: Ovingdean, PAN 210, current catchments"
Patcham High School,225,8.195525763803994,32.831621226119005,2028,225,1,31.336667820294444,"A. Today: Ovingdean, PAN 210, current catchments"
Peacehaven Community School,163.02465405194974,136.65512102871395,23.14593249254607,2028,180,0.9056925225108319,31.336667820294444,"A. Today: Ovingdean, PAN 210, current catchments"
Portslade Aldridge Community Academy,220,4.711605590681567,25.634467563967497,2028,220,1,31.336667820294444,"A. Today: Ovingdean, PAN 210, current catchments"
