config,entry_year,lo,med,hi,central
"A. Today: Ovingdean, PAN 210, current catchments",2026,0.735529435227784,1,1.0000000000000002,1
"A. Today: Ovingdean, PAN 210, current catchments",2028,0.5407048183926163,0.9631435801713053,1.0000000000000002,0.9007336184072228
"A. Today: Ovingdean, PAN 210, current catchments",2030,0.4503958300051436,0.8840893359328192,1.0000000000000002,0.8311970772289469
"A. Today: Ovingdean, PAN 210, current catchments",2033,0.4199392641040683,0.8408429013957642,1,0.7887207962579766
"A. Today: Ovingdean, PAN 210, current catchments",2035,0.3895095545173418,0.7806254339940003,1.0000000000000002,0.7386790317252993
"B. Shrink only: Ovingdean, PAN 150",2026,0.9999999999999998,1,1.0000000000000002,1
"B. Shrink only: Ovingdean, PAN 150",2028,0.7569867457496628,1,1.0000000000000002,0.9999999999999998
"B. Shrink only: Ovingdean, PAN 150",2030,0.630554162007201,1,1,1
"B. Shrink only: Ovingdean, PAN 150",2033,0.5879149697456957,1,1.0000000000000002,1
"B. Shrink only: Ovingdean, PAN 150",2035,0.5453133763242786,1,1.0000000000000002,1
"C. Move only: Elm Grove, PAN 210",2026,0.9159736604737048,1,1.0000000000000002,1
"C. Move only: Elm Grove, PAN 210",2028,0.665383201203739,0.9999999999999999,1.0000000000000002,0.9999999999999999
"C. Move only: Elm Grove, PAN 210",2030,0.5704211046239965,0.9999999999999999,1,0.9702851494228548
"C. Move only: Elm Grove, PAN 210",2033,0.534777608025117,0.9774226288915044,1.0000000000000002,0.9176496553103276
"C. Move only: Elm Grove, PAN 210",2035,0.5006703595329416,0.9085479989224517,1.0000000000000002,0.8593920822356794
"D. Shrink + move: Elm Grove, PAN 150",2026,1,1,1.0000000000000002,1
"D. Shrink + move: Elm Grove, PAN 150",2028,0.9315364816852345,1,1.0000000000000002,1
"D. Shrink + move: Elm Grove, PAN 150",2030,0.7985895464735951,1,1.0000000000000002,1
"D. Shrink + move: Elm Grove, PAN 150",2033,0.7486886512351638,1,1.0000000000000002,1.0000000000000002
"D. Shrink + move: Elm Grove, PAN 150",2035,0.7009385033461183,1,1.0000000000000002,1
E. Shrink + move + redrawn catchments,2026,0.9999999999999998,1,1.0000000000000002,1
E. Shrink + move + redrawn catchments,2028,0.9999999999999998,1,1,1
E. Shrink + move + redrawn catchments,2030,0.8572315150802371,1,1.0000000000000002,1
E. Shrink + move + redrawn catchments,2033,0.7946406728520704,1,1.0000000000000002,1.0000000000000002
E. Shrink + move + redrawn catchments,2035,0.7363401523800593,1,1.0000000000000002,1
"F. Redrawn catchments, Longhill stays at Ovingdean",2026,0.9999999999999998,1,1,1
"F. Redrawn catchments, Longhill stays at Ovingdean",2028,0.8063372389274345,1,1.0000000000000002,1
"F. Redrawn catchments, Longhill stays at Ovingdean",2030,0.6715436816349241,1,1.0000000000000002,1.0000000000000002
"F. Redrawn catchments, Longhill stays at Ovingdean",2033,0.5978267143874513,0.9999999999999998,1.0000000000000002,0.9610137634731863
"F. Redrawn catchments, Longhill stays at Ovingdean",2035,0.5492796413590347,0.9442441560689128,1.0000000000000002,0.9019574584414867
"G. Elm Grove, PAN 120, redrawn catchments",2026,0.9999999999999999,1,1,1
"G. Elm Grove, PAN 120, redrawn catchments",2028,0.9999999999999999,1,1.0000000000000002,1
"G. Elm Grove, PAN 120, redrawn catchments",2030,0.9999999999999999,1,1.0000000000000002,1
"G. Elm Grove, PAN 120, redrawn catchments",2033,0.993300841065088,1,1.0000000000000002,1
"G. Elm Grove, PAN 120, redrawn catchments",2035,0.9204251904750742,1,1,1
