name,la,postcode,roll,joins,dist_km
Peacehaven Community School,East Sussex,BN10 8RB,917,TRUE,0.8166507163415705
Seahaven Academy,East Sussex,BN9 9TD,769,FALSE,0.671324599617439
Longhill High School,Brighton and Hove,BN2 7FR,825,FALSE,2.926177679794121
Priory School,East Sussex,BN7 2XN,1154,FALSE,5.61684055672285
Seaford Head School,East Sussex,BN25 4LX,1408,FALSE,6.310348945698781
Brighton Aldridge Community Academy,Brighton and Hove,BN1 9PW,802,FALSE,7.122526750417311
Varndean School,Brighton and Hove,BN1 6NP,1490,FALSE,8.932647414822114
Dorothy Stringer School,Brighton and Hove,BN1 6PZ,1635,FALSE,9.197606442283144
Cardinal Newman Catholic School,Brighton and Hove,BN3 6ND,2507,FALSE,9.400253211256153
King's Academy Ringmer,East Sussex,BN8 5RB,611,FALSE,9.731913945172614
Patcham High School,Brighton and Hove,BN1 8PB,1092,FALSE,10.125835147040714
Hove Park School and Sixth Form Centre,Brighton and Hove,BN3 7BN,1051,FALSE,10.96841273902162
Blatchington Mill School,Brighton and Hove,BN3 7BW,1629,FALSE,11.28690730118446
