postcode,lsoa,easting,northing,children,hh_with_ch,hh_total,idaci_decile,idaci_score,catchment_2026
BN1 1AB,E01016952,530981,104247,0,0,241,5,0.134,VarndeanStringer
BN1 1AD,E01016952,530956,104106,1,1,191,5,0.134,VarndeanStringer
BN1 1AE,E01016952,530988,104072,0,1,241,5,0.134,VarndeanStringer
BN1 1AF,E01016952,530996,104202,1,1,241,5,0.134,VarndeanStringer
BN1 1AG,E01016952,530905,104241,1,1,241,5,0.134,VarndeanStringer
BN1 1AH,E01016952,530904,104221,0,0,61,5,0.134,VarndeanStringer
BN1 1AJ,E01016952,530931,104078,1,1,191,5,0.134,VarndeanStringer
BN1 1AL,E01016952,530901,104068,3,3,191,5,0.134,VarndeanStringer
BN1 1AN,E01016952,530863,104147,1,0,191,5,0.134,VarndeanStringer
BN1 1AP,E01016952,530852,104004,0,0,191,5,0.134,VarndeanStringer
BN1 1BG,E01016952,530959,104175,2,1,61,5,0.134,VarndeanStringer
BN1 1BP,E01016952,531235,104062,1,1,241,5,0.134,VarndeanStringer
BN1 1EA,E01016969,531146,104215,1,1,184,1,0.798,VarndeanStringer
BN1 1EB,E01016952,531102,104194,3,1,241,5,0.134,VarndeanStringer
BN1 1ED,E01016969,531159,104225,1,0,184,1,0.798,VarndeanStringer
BN1 1EF,E01016969,531266,104109,0,0,185,1,0.798,VarndeanStringer
BN1 1EG,E01016952,531241,104076,0,0,241,5,0.134,VarndeanStringer
BN1 1EH,E01016969,531282,104106,0,0,185,1,0.798,VarndeanStringer
BN1 1EJ,E01016941,531376,104097,1,0,183,1,0.345,Longhill
BN1 1EL,E01016941,531370,103984,3,2,234,1,0.345,Longhill
BN1 1EN,E01016941,531364,104038,0,0,234,1,0.345,Longhill
BN1 1EZ,E01016969,531103,104239,0,0,184,1,0.798,VarndeanStringer
BN1 1FT,E01016952,531230,104048,1,1,241,5,0.134,VarndeanStringer
BN1 1GE,E01016969,531183,104478,1,1,185,1,0.798,VarndeanStringer
BN1 1GS,E01016952,531101,104163,1,0,241,5,0.134,VarndeanStringer
BN1 1GX,E01016969,531209,104402,2,1,185,1,0.798,VarndeanStringer
BN1 1HA,E01016952,531019,104162,0,0,241,5,0.134,VarndeanStringer
BN1 1HB,E01016952,531056,104160,1,1,241,5,0.134,VarndeanStringer
BN1 1HD,E01016952,531084,104157,1,0,241,5,0.134,VarndeanStringer
BN1 1HE,E01016952,531024,104071,0,0,241,5,0.134,VarndeanStringer
BN1 1HF,E01016952,531050,104062,0,0,241,5,0.134,VarndeanStringer
BN1 1HG,E01016952,531133,104033,1,1,241,5,0.134,VarndeanStringer
BN1 1HH,E01016952,531128,104084,4,2,241,5,0.134,VarndeanStringer
BN1 1HJ,E01016952,531122,104109,1,1,241,5,0.134,VarndeanStringer
BN1 1HL,E01016952,531161,104086,2,1,241,5,0.134,VarndeanStringer
BN1 1HN,E01016952,531190,104049,0,0,241,5,0.134,VarndeanStringer
BN1 1HP,E01016952,531158,103954,1,1,241,5,0.134,VarndeanStringer
BN1 1HQ,E01016952,531178,103967,3,2,241,5,0.134,VarndeanStringer
BN1 1JG,E01016952,530923,104061,0,0,191,5,0.134,VarndeanStringer
BN1 1JS,E01016952,531115,103951,1,1,241,5,0.134,VarndeanStringer
BN1 1NA,E01016952,530884,103974,4,2,191,5,0.134,VarndeanStringer
BN1 1ND,E01016952,531014,104041,1,0,241,5,0.134,VarndeanStringer
BN1 1NE,E01016952,531143,103928,0,0,241,5,0.134,VarndeanStringer
BN1 1NF,E01016952,531195,103886,2,1,241,5,0.134,VarndeanStringer
BN1 1NH,E01016952,531245,103954,2,2,241,5,0.134,VarndeanStringer
BN1 1NJ,E01016952,531207,103941,1,0,241,5,0.134,VarndeanStringer
BN1 1NN,E01016952,531207,103953,0,0,241,5,0.134,VarndeanStringer
BN1 1RB,E01016969,531016,104429,0,0,184,1,0.798,VarndeanStringer
BN1 1RD,E01016969,531102,104327,1,0,184,1,0.798,VarndeanStringer
BN1 1RF,E01016969,531038,104423,0,0,184,1,0.798,VarndeanStringer
BN1 1RH,E01016952,530926,104272,1,0,241,5,0.134,VarndeanStringer
BN1 1RJ,E01016969,530929,104422,2,2,177,1,0.798,VarndeanStringer
BN1 1RL,E01016969,530940,104475,1,1,177,1,0.798,VarndeanStringer
BN1 1RN,E01016969,530987,104386,4,3,177,1,0.798,VarndeanStringer
BN1 1RQ,E01016969,530956,104356,2,1,177,1,0.798,VarndeanStringer
BN1 1RR,E01016952,530866,104294,0,0,241,5,0.134,VarndeanStringer
BN1 1RS,E01016969,530905,104392,5,4,177,1,0.798,VarndeanStringer
BN1 1RT,E01016969,531081,104349,0,0,184,1,0.798,VarndeanStringer
BN1 1TT,E01016969,531091,104536,1,1,184,1,0.798,VarndeanStringer
BN1 1TY,E01016969,531088,104441,0,0,184,1,0.798,VarndeanStringer
BN1 1TZ,E01016969,531053,104542,1,1,184,1,0.798,VarndeanStringer
BN1 1UA,E01033328,531334,104548,2,1,203,5,0.148,VarndeanStringer
BN1 1UB,E01016969,531308,104441,6,3,185,1,0.798,VarndeanStringer
BN1 1UD,E01016969,531218,104378,0,0,185,1,0.798,VarndeanStringer
BN1 1UF,E01016969,531134,104312,0,0,184,1,0.798,VarndeanStringer
BN1 1UG,E01016969,531169,104335,0,0,185,1,0.798,VarndeanStringer
BN1 1UJ,E01016969,531099,104421,0,0,184,1,0.798,VarndeanStringer
BN1 1UL,E01016969,531154,104447,2,1,185,1,0.798,VarndeanStringer
BN1 1UN,E01016969,531147,104470,2,2,185,1,0.798,VarndeanStringer
BN1 1UP,E01016969,531124,104478,1,1,185,1,0.798,VarndeanStringer
BN1 1UQ,E01016969,531115,104486,3,1,185,1,0.798,VarndeanStringer
BN1 1UR,E01016969,531102,104489,2,1,184,1,0.798,VarndeanStringer
BN1 1US,E01016969,531085,104402,0,0,184,1,0.798,VarndeanStringer
BN1 1UU,E01016969,531188,104517,7,4,185,1,0.798,VarndeanStringer
BN1 1UW,E01016969,531074,104407,1,0,184,1,0.798,VarndeanStringer
BN1 1WR,E01016969,531280,104511,1,1,185,1,0.798,VarndeanStringer
BN1 1XF,E01016969,531261,104510,3,2,185,1,0.798,VarndeanStringer
BN1 1YA,E01016969,531246,104523,4,3,185,1,0.798,VarndeanStringer
BN1 1YB,E01016969,531095,104553,3,1,149,1,0.798,VarndeanStringer
BN1 1YD,E01016969,531060,104582,4,3,149,1,0.798,VarndeanStringer
BN1 1YE,E01033328,531254,104546,1,1,203,5,0.148,VarndeanStringer
BN1 1YF,E01016969,531272,104484,5,2,185,1,0.798,VarndeanStringer
BN1 1YW,E01033328,531319,104541,0,0,203,5,0.148,VarndeanStringer
BN1 2AA,E01016953,530127,104440,3,2,154,5,0.127,HoveBlatchington
BN1 2AB,E01016850,530031,104488,2,1,139,7,0.076,HoveBlatchington
BN1 2AD,E01016953,530159,104470,4,2,154,5,0.127,HoveBlatchington
BN1 2AJ,E01016955,530382,104446,5,4,136,5,0.137,HoveBlatchington
BN1 2AU,E01016952,530451,104281,7,7,172,5,0.134,HoveBlatchington
BN1 2BN,E01016850,529948,104340,4,3,122,7,0.076,HoveBlatchington
