id,time_varndean,time_ds,time_longhill,time_blatchington,time_hove_park,time_patcham,time_cardinal_n,time_baca,time_paca,time_kings,time_peacehaven,time_seahaven,time_priory_lewes,time_seaford_head,time_elm_grove,first_closest_travel,second_closest_travel,third_closest_travel,first_closest_time,second_closest_time,third_closest_time,max_travel,min_travel,avg_travel,long,lat,lsoa21,oslaua,osward
BN1 1AA,32,38,47,44,42,40,21,36,48,53,56,67,60,93,35,cardinal_n,varndean,baca,21,32,36,93,21,48.4,-0.140818,50.826334,E01016969,E06000043,E05015415
BN1 1AB,32,38,47,44,35,40,21,36,48,51,56,67,60,93,35,cardinal_n,varndean,hove_park,21,32,35,93,21,47.7,-0.14179,50.822959,E01016952,E06000043,E05015411
BN1 1AD,32,38,47,44,35,40,21,36,48,51,56,67,60,93,35,cardinal_n,varndean,hove_park,21,32,35,93,21,47.7,-0.142167,50.821691,E01016952,E06000043,E05015411
BN1 1AE,32,38,47,44,42,40,21,36,48,53,56,67,60,93,35,cardinal_n,varndean,baca,21,32,36,93,21,48.4,-0.141753,50.821384,E01016952,E06000043,E05015411
BN1 1AF,32,38,47,44,35,40,21,36,48,51,56,67,60,93,35,cardinal_n,varndean,hove_park,21,32,35,93,21,47.7,-0.141565,50.822545,E01016952,E06000043,E05015411
BN1 1AG,32,38,47,44,35,40,21,42,48,51,56,67,71,93,35,cardinal_n,varndean,hove_park,21,32,35,93,21,48.9,-0.142871,50.822922,E01016952,E06000043,E05015411
BN1 1AH,32,38,47,44,35,40,21,42,48,51,56,67,71,93,35,cardinal_n,varndean,hove_park,21,32,35,93,21,48.9,-0.142864,50.822736,E01016952,E06000043,E05015411
BN1 1AJ,32,38,47,44,42,40,29,36,48,53,56,67,60,93,35,cardinal_n,varndean,baca,29,32,36,93,29,48.9,-0.14256,50.821451,E01016952,E06000043,E05015411
BN1 1AL,32,38,47,44,42,40,29,42,48,53,56,67,71,93,35,cardinal_n,varndean,ds,29,32,38,93,29,50.1,-0.142961,50.821362,E01016952,E06000043,E05015411
BN1 1AN,32,38,47,44,35,40,21,42,48,51,56,67,71,93,35,cardinal_n,varndean,hove_park,21,32,35,93,21,48.9,-0.1435,50.822086,E01016952,E06000043,E05015411
BN1 1AP,44,38,47,44,42,40,29,42,48,53,56,67,71,93,35,cardinal_n,ds,patcham,29,38,40,93,29,51,-0.143707,50.820804,E01016952,E06000043,E05015411
BN1 1AR,32,38,47,44,35,40,21,42,48,51,56,67,71,93,35,cardinal_n,varndean,hove_park,21,32,35,93,21,48.9,-0.143262,50.823072,E01016952,E06000043,E05015411
BN1 1AX,32,38,47,44,38,40,21,36,48,53,56,67,60,93,29,cardinal_n,varndean,baca,21,32,36,93,21,48.1,-0.140677,50.828103,E01033328,E06000043,E05015415
BN1 1BG,32,38,47,44,35,40,21,36,48,51,56,67,60,93,35,cardinal_n,varndean,hove_park,21,32,35,93,21,47.7,-0.1421,50.82231,E01016952,E06000043,E05015411
BN1 1BN,32,38,36,44,35,40,21,36,48,51,49,57,60,84,22,cardinal_n,varndean,hove_park,21,32,35,84,21,45.1,-0.139594,50.822834,E01016969,E06000043,E05015415
BN1 1BP,32,38,36,44,42,36,21,35,48,53,49,57,60,84,22,cardinal_n,varndean,baca,21,32,35,84,21,45.4,-0.138224,50.821232,E01016952,E06000043,E05015411
BN1 1BS,32,38,47,44,35,40,21,42,48,51,56,67,71,93,35,cardinal_n,varndean,hove_park,21,32,35,93,21,48.9,-0.142641,50.82299,E01016952,E06000043,E05015411
BN1 1DP,32,38,36,44,35,36,21,35,48,51,49,57,60,84,22,cardinal_n,varndean,hove_park,21,32,35,84,21,44.7,-0.138327,50.82186,E01016969,E06000043,E05015415
BN1 1EA,32,38,36,44,35,40,15,36,40,51,49,57,60,84,22,cardinal_n,varndean,hove_park,15,32,35,84,15,44.1,-0.13946,50.822634,E01016969,E06000043,E05015415
BN1 1EB,32,38,36,44,35,40,21,36,40,51,49,57,60,84,22,cardinal_n,varndean,hove_park,21,32,35,84,21,44.5,-0.140064,50.822449,E01016952,E06000043,E05015411
BN1 1ED,32,38,36,44,35,40,21,36,48,51,49,57,60,84,22,cardinal_n,varndean,hove_park,21,32,35,84,21,45.1,-0.139272,50.822721,E01016969,E06000043,E05015415
BN1 1EE,32,38,36,44,35,40,21,35,48,51,49,57,60,84,22,cardinal_n,varndean,hove_park,21,32,35,84,21,45,-0.138236,50.821994,E01016969,E06000043,E05015415
BN1 1EF,32,29,36,44,42,29,21,35,48,53,49,57,60,84,22,cardinal_n,ds,patcham,21,29,29,84,21,44.2,-0.137796,50.821654,E01016969,E06000043,E05015415
BN1 1EG,32,38,36,44,35,36,21,35,48,51,49,57,60,84,22,cardinal_n,varndean,hove_park,21,32,35,84,21,44.7,-0.138162,50.821363,E01016952,E06000043,E05015411
BN1 1EH,32,29,36,44,35,29,21,35,48,51,49,57,60,84,22,cardinal_n,ds,patcham,21,29,29,84,21,43.6,-0.137542,50.821617,E01016969,E06000043,E05015415
BN1 1EJ,32,38,36,44,35,40,21,35,48,51,49,57,60,84,22,cardinal_n,varndean,hove_park,21,32,35,84,21,45,-0.136211,50.821515,E01016941,E06000043,E05015405
BN1 1EL,32,38,36,44,42,40,21,35,48,53,49,57,60,84,22,cardinal_n,varndean,baca,21,32,35,84,21,45.6,-0.136337,50.820501,E01016941,E06000043,E05015405
BN1 1EN,32,38,36,44,35,40,21,35,48,51,49,57,60,84,22,cardinal_n,varndean,hove_park,21,32,35,84,21,45,-0.13643,50.820993,E01016941,E06000043,E05015405
BN1 1EP,32,38,36,44,35,40,15,36,40,51,49,57,60,84,22,cardinal_n,varndean,hove_park,15,32,35,84,15,44.1,-0.140835,50.822695,E01016952,E06000043,E05015411
BN1 1EY,32,38,47,44,35,40,21,36,48,51,56,67,60,93,35,cardinal_n,varndean,hove_park,21,32,35,93,21,47.7,-0.139719,50.823636,E01016969,E06000043,E05015415
BN1 1EZ,32,38,36,44,35,40,15,36,40,51,49,57,60,84,22,cardinal_n,varndean,hove_park,15,32,35,84,15,44.1,-0.140034,50.822853,E01016969,E06000043,E05015415
BN1 1FL,32,38,27,44,42,40,21,35,48,53,49,57,60,84,22,cardinal_n,longhill,varndean,21,27,32,84,21,45,-0.13639,50.820219,E01016941,E06000043,E05015405
BN1 1FN,32,38,36,44,42,40,21,35,48,53,49,57,60,84,22,cardinal_n,varndean,baca,21,32,35,84,21,45.6,-0.13769700000000001,50.822357,E01016969,E06000043,E05015415
BN1 1FS,32,38,47,44,42,40,29,36,48,53,49,57,60,84,35,cardinal_n,varndean,baca,29,32,36,84,29,47.1,-0.139994,50.820268,E01016952,E06000043,E05015411
BN1 1FT,32,38,36,44,42,36,21,35,48,53,49,57,60,84,22,cardinal_n,varndean,baca,21,32,35,84,21,45.4,-0.138328,50.821114,E01016952,E06000043,E05015411
BN1 1FW,32,38,47,44,42,40,29,36,48,53,49,57,60,84,35,cardinal_n,varndean,baca,29,32,36,84,29,47.1,-0.138804,50.819164,E01016952,E06000043,E05015411
BN1 1FZ,32,38,36,44,42,40,29,35,48,53,49,57,60,84,22,cardinal_n,varndean,baca,29,32,35,84,29,46.2,-0.136165,50.82196,E01016941,E06000043,E05015405
BN1 1GA,32,38,47,44,35,40,21,36,48,51,56,67,60,93,35,cardinal_n,varndean,hove_park,21,32,35,93,21,47.7,-0.141554,50.823899,E01016969,E06000043,E05015415
BN1 1GE,32,38,47,44,42,40,29,36,48,53,56,67,60,93,35,cardinal_n,varndean,baca,29,32,36,93,29,48.9,-0.138813,50.824983,E01016969,E06000043,E05015415
BN1 1GL,32,38,36,44,35,36,21,35,48,51,49,57,60,84,22,cardinal_n,varndean,hove_park,21,32,35,84,21,44.7,-0.138811,50.822183,E01016969,E06000043,E05015415
BN1 1GS,32,38,36,44,35,40,21,36,40,51,49,57,60,84,22,cardinal_n,varndean,hove_park,21,32,35,84,21,44.5,-0.14009,50.82217,E01016952,E06000043,E05015411
BN1 1GT,32,38,36,44,35,40,15,36,40,51,49,57,60,84,22,cardinal_n,varndean,hove_park,15,32,35,84,15,44.1,-0.140855,50.822551,E01016952,E06000043,E05015411
BN1 1GX,32,38,47,44,42,40,21,36,48,53,56,67,60,93,35,cardinal_n,varndean,baca,21,32,36,93,21,48.4,-0.1385,50.8243,E01016969,E06000043,E05015415
BN1 1HA,32,38,47,44,35,40,21,36,48,51,56,67,60,93,35,cardinal_n,varndean,hove_park,21,32,35,93,21,47.7,-0.141281,50.822186,E01016952,E06000043,E05015411
BN1 1HB,32,38,36,44,35,40,15,36,40,51,49,57,60,84,22,cardinal_n,varndean,hove_park,15,32,35,84,15,44.1,-0.140729,50.822154,E01016952,E06000043,E05015411
BN1 1HD,32,38,36,44,35,40,21,36,48,51,49,57,60,84,22,cardinal_n,varndean,hove_park,21,32,35,84,21,45.1,-0.140333,50.82212,E01016952,E06000043,E05015411
