lsoa,ward,easting,northing,catch_pre2024,catch_optionZ,zone
E01016969,E05015415,531040,104624,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016952,E05015411,530981,104247,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,530956,104106,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,530988,104072,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,530996,104202,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,530905,104241,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,530904,104221,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,530931,104078,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,530901,104068,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,530863,104147,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,530852,104004,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,530877,104257,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01033328,E05015415,531045,104821,DS_Varndean,DS_Varndean,E01033328|DS_Varndean|DS_Varndean
E01016952,E05015411,530959,104175,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016969,E05015415,531136,104237,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016952,E05015411,531235,104062,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,530921,104249,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016969,E05015415,531228,104131,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016969,E05015415,531146,104215,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016952,E05015411,531102,104194,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016969,E05015415,531159,104225,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016969,E05015415,531234,104146,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016969,E05015415,531266,104109,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016952,E05015411,531241,104076,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016969,E05015415,531282,104106,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016941,E05015405,531376,104097,DS_Varndean,Longhill,E01016941|DS_Varndean|Longhill
E01016941,E05015405,531370,103984,DS_Varndean,Longhill,E01016941|DS_Varndean|Longhill
E01016941,E05015405,531364,104038,DS_Varndean,Longhill,E01016941|DS_Varndean|Longhill
E01016952,E05015411,531047,104220,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016969,E05015415,531125,104326,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016969,E05015415,531103,104239,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016941,E05015405,531369,103952,DS_Varndean,Longhill,E01016941|DS_Varndean|Longhill
E01016969,E05015415,531269,104188,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016952,E05015411,531115,103951,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,531230,104048,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,531200,103831,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016941,E05015405,531380,104146,DS_Varndean,Longhill,E01016941|DS_Varndean|Longhill
E01016969,E05015415,530995,104352,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016969,E05015415,531183,104478,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016969,E05015415,531193,104166,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
E01016952,E05015411,531101,104163,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016952,E05015411,531046,104204,DS_Varndean,DS_Varndean,E01016952|DS_Varndean|DS_Varndean
E01016969,E05015415,531209,104402,DS_Varndean,DS_Varndean,E01016969|DS_Varndean|DS_Varndean
